Hospital Id,Hospital Name,rating,Care system,Services,Operating Time,Location,Payment,Cordinates,Type,Beds,phone,website
1,Butabika National Referral Hospital,4.4,Public,"mental health,Health,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Butabika,Kampala,","No payment,",00°18′57″N 32°39′33″E / 0.31583°N 32.65917°E,Referral,0,041 4504376,https://www.butabikahospital.go.ug/
2,Mulago National Referral Hospital,4.1,Public,"Surgery,Diagnostic,Pediatric,Radiology,Dentistry,Pathology,","Open 24 hours,Open 24 hours,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Open 24 hours,Open 24 hours,","Mulago,Kampala,","No payment,",00°20′16″N 32°34′32″E / 0.33778°N 32.57556°E,General and Teaching,1000,041 4554008,https://mulagohospital.go.ug/
3,Mulago National Specialised Hospital,3.8,Public,"Surgery,Dentistry,ICU,emergency medicine,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Mulago,Kampala,","No payment,",00°20′16″N 32°34′32″E / 0.33778°N 32.57556°E,General and Teaching,1000,0712 871081,https://mulagohospital.go.ug/
4,Mulago Women's Referral Hospital,3.8,Public,"ICU,Neonatal,IVF,Pathology,Maternity,Oncology,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Mulago,Kampala,","Cash,",00°20′16″N 32°34′41″E / 0.33778°N 32.57806°E,General and Teaching,450[1],0712 871081,http://www.mswnh.go.ug/
5,Uganda Cancer Institute,3.6,Public,"Chemotherapy,Cancer,Palliative,","8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,","Mulago,Kampala,","unknown,",00°20′29″N 32°34′40″E / 0.34139°N 32.57778°E,"Cancer Treatment, Research and Teaching",80[1],041 4540410,https://uci.or.ug/
6,Uganda Heart Institute,4.4,Public,"Cardiovarsicular,Heart,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Mulago,Kampala,","unknown,",00°20′17″N 32°34′31″E / 0.33806°N 32.57528°E,General and Teaching,250 (Planned),041 7720350,
7,Arua Regional Referral Hospital,,Public,"Health,","UNKNOWN,","Arua,","No payment,",03°01′10″N 30°54′45″E / 3.01944°N 30.91250°E,General and Teaching,272,,
8,Entebbe General Hospital,4.2,Public,"Pediatric,Radiology,Maternity,Immunization,Surgery,ICU,Orthopedics,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Central,Entebbe,Wakiso,","No payment,",00°03′50″N 32°28′18″E / 0.06389°N 32.47167°E,General,200,,
9,Fort Portal Regional Referral Hospital,4.3,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Western,Entebbe,Fort Portal,","No payment,",00°39′19″N 30°16′53″E / 0.65528°N 30.28139°E,General & Teaching,333,0717 555139,https://www.health.go.ug/sermon/fort-portal-regional-referal-hospital/
10,Gulu Regional Referral Hospital,4.0,Public,"General Care,Health,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Northern,Gulu,","unknown,",02°46′40″N 32°17′52″E / 2.77778°N 32.29778°E,General and teaching,370,0783 727041,https://guluhospital.net/
