Unnamed: 0,Hospital,Location,Cordinates,Latitude,Longitude,Care system,Type,Beds,address,phone,rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website,services,payment,cleaned services
0,Butabika National Referral Hospital,"Butabika, Kampala, Uganda",00°18′57″N 32°39′33″E / 0.31583°N 32.65917°E,0.315833,32.65917,Public,Referral,900,"plot 2 Kirombe-Butabika road, Kampala, Uganda",041 4504376,4.4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.butabikahospital.go.ug/,"The hospital provides general and specialized mental health treatment for mental health patients and is a teaching hospital for a broad range of mental health specialists, from nursing to Post – Graduate students. Butabika Hospital also provides primary health care services to the people from the surrounding area as well as supports other hospitals within the referral system, while also providing technical advice to Health Service Commission and to policy-making bodies. Finally, Butabika Hospital is an important platform for research into mental health trends in Uganda, and approaches to tackling the problem.",No payment,"mental health, healthcare"
1,Mulago National Referral Hospital,"Mulago, Kampala, Uganda",00°20′16″N 32°34′32″E / 0.33778°N 32.57556°E,0.337778,32.57556,Public,General and Teaching,1000,"Haji Musa Kasule Road, Kampala, Uganda",041 4554008,4.1,Open 24 hours,Open 24 hours,9:00AM - 5:00PM,Open 24 hours,9:00AM - 5:00PM,Open 24 hours,Open 24 hours,https://mulagohospital.go.ug/,"We offer Pediatric, Surgery and Internal Medicine services with all their subspecialities. The diagnostic services include Radiology, Clinical Laboratory, Pathology and Nuclear Medicine. Our emergency services include Acute Care Unit for Pediatrics, Accident & Emergency (commonly known as Causality) for surgical cases and Medical Emergency Unit for adults and these are operational 24/7. We also run wide range of specialized clinics on designated days which you can find out from this website. However, there are medical clinics for both children and adults located at Assessment Center where walk in patients are attended to during regular working hours.",No payment,"Pediatric, Surgery, Medicine services , diagnostic services, Radiology, Clinical Laboratory, Pathology, and Nuclear Medicine, Pediatrics, Surgery, Medical Unit "
2,Mulago National Specialised Hospital,"Mulago, Kampala, Uganda",00°20′16″N 32°34′32″E / 0.33778°N 32.57556°E,0.337778,32.57556,Public,General and Teaching,1000,"Owen Rd, Kampala, Uganda",0712 871081,3.8,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://mulagohospital.go.ug/," The hospital offers services in most medical and surgical subspecialties, in addition to dentistry, emergency medicine, pediatrics, and intensive care.[4]",No payment,"medical and surgical subspecialties, dentistry, emergency medicine, pediatrics, and intensive care."
3,Mulago Women's Referral Hospital,"Mulago, Kampala, Uganda",00°20′16″N 32°34′41″E / 0.33778°N 32.57806°E,0.337778,32.57806,Public,General and Teaching,450[1],"Owen Rd, Kampala, Uganda",0712 871081,3.8,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,http://www.mswnh.go.ug/,"The Mulago Specialised Women and Neonatal Hospital offers a comprehensive range of specialized medical services. Their state-of-the-art facilities include a Tertiary Referral ICU for critical care, a 60-bed Neonatal Unit with Kangaroo Mother Care (KMC) and neonatal intensive care (NICU) beds, and IVF services. They prioritize pathology, gynecology, and maternal fetal medicine, along with specialized care in gynecologic oncology and neonatology. The hospital values professionalism, integrity, and client-focused care, engaging with the community through health education programs and events.",cash,"ICU , Neonatal, IVF, pathology, gynecology, maternal fetal, gynecologic, oncology, neonatology."
4,Uganda Cancer Institute,"Mulago, Kampala, Central Region, Uganda",00°20′29″N 32°34′40″E / 0.34139°N 32.57778°E,0.341389,32.57778,Public,"Cancer Treatment, Research and Teaching",80[1],"8HXM+22M, Upper Mulago Hill Rd, Kampala, Uganda",041 4540410,3.6,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,https://uci.or.ug/,"Care Services, Our cancer experts at Uganda Cancer Institute treat both adults and childhood cancers. We provide a full spectrum of cancer management – from preventing cancer through screening and risk reduction, to caring for newly diagnosed patients, and offering specialty care for patients with advanced cancer. The diagnosis and treatment of your cancer often require the skills of many specialists. We bring together these specialists in a single setting (called multidisciplinary care). Here they discuss care for each patient and develop a thorough treatment program as a team. This provides you the best treatment plan possible. Services Include; Chemotherapy, Childhood cancer treatment, Adult cancer treatment, Cancer Screening, Cancer surgery, Radiotherapy, Palliative care, Imaging, Cancer Information",,"chemotherapy, cancer treatment, cancer screening, cancer surgery, radiotherapy, palliative care, imaging, and cancer information."
5,Uganda Heart Institute,"Mulago, Kampala, Uganda",00°20′17″N 32°34′31″E / 0.33806°N 32.57528°E,0.338056,32.57528,Public,General and Teaching,250 (Planned),"Kampala, Uganda",041 7720350,4.4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"The Institute is now a provider of cardiovascular services and the only National Referral Facility for heart diseases in Uganda. Currently, UHI, using a modest investment and an enabling legal framework has trained cardiac specialists and installed a cardiac catheterization laboratory and operating theatre, which have enabled them to conduct heart surgeries and interventions.",,"cardiovascular services, heart surgery, interventions"
6,Arua Regional Referral Hospital,"Arua, Arua District, Uganda",03°01′10″N 30°54′45″E / 3.01944°N 30.91250°E,3.019444,30.9125,Public,General and Teaching,272,,,,,,,,,,,,It is one of the thirteen (14) Regional Referral Hospitals in Uganda. The hospital is designated as one of the fifteen (15) Internship Hospitals in Uganda where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants.,No payment,Hospital services
7,Entebbe General Hospital,"Entebbe, Wakiso District, Central Region, Uganda",00°03′50″N 32°28′18″E / 0.06389°N 32.47167°E,0.063889,32.47167,Public,General,200,"3F7C+7PJ, Entebbe, Uganda",,4.2,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"facility has a private fee-for-service wing and a public, free-service wing. Other services include pediatrics, radiology, laboratory, maternity, immunization, general surgery, internal medicine, orthopedics and operating rooms. Patients served come from Wakiso District, Mpigi District, Entebbe Town, and the neighboring islands in Lake Victoria.[5]",No payment,"private fee service wing,  public free service wing, pediatrics, radiology, laboratory, maternity, immunization, surgery, internal medicine, orthopedics, and operating rooms."
8,Fort Portal Regional Referral Hospital,"Fort Portal, Kabarole District, Western Region, Uganda",00°39′19″N 30°16′53″E / 0.65528°N 30.28139°E,0.655278,30.28139,Public,General & Teaching,333,"M73J+X3J, Mugurusi Rd, Fort Portal, Uganda",0717 555139,4.3,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.health.go.ug/sermon/fort-portal-regional-referal-hospital/,"Fort Portal Hospital is a public hospital, funded by the Uganda Ministry of Health and general care in the hospital is free. It is one of the 13 ""Regional Referral Hospitals"" in Uganda.[7] The hospital is designated as one of the 15 ""Internship Hospitals"" where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants.[",No payment,General care
9,Gulu Regional Referral Hospital,"Gulu, Gulu District,, Northern Region, Uganda",02°46′40″N 32°17′52″E / 2.77778°N 32.29778°E,2.777778,32.29778,Public,General and teaching,370,"laro division,, Q7HX+29W, Gulu, Uganda",0783 727041,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://guluhospital.net/,"Clinical Care,  Providing Expert Diagnostics, Personalized Treatments & Care, Community Health, Empowering Communities Through Accessible Community Health Services, Equipment Workshop, Ensuring Precision and Reliability through our Expert Equipment Maintenance Workshop. Health Research, Pioneering Advances Through Cutting-edge Research and Innovative Healthcare Solutions.Support Services, Offering Support Services to Enhance Patient Satisfaction and Well being, Health Training, Fostering Health Excellence Through Health Training and Education Programs.",,"Clinical Care, Community Health, Equipment Workshop, Health Research, Support Services"
